gene_id,species_id
mstn_ko,canis_familiaris
epas1_tibetan,homo_sapiens
sod2,heterocephalus_glaber
aqp1,cyclorana_platycephala
foxo3,homo_sapiens
apoe_edit,homo_sapiens
rbm3,urocitellus_parryii
mb_seal,leptonychotes_weddellii
hsf1_pv,polypedilum_vanderplanki
resilin,drosophila_melanogaster
reflectin,sepia_officinalis
pvlea,polypedilum_vanderplanki
sting_bat,pteropus_alecto
mgmt_p140k,homo_sapiens
tmc1,mus_musculus
tp53_elephant,loxodonta_africana
tp53_rtg9,loxodonta_africana
cbp_gecko,gekko_japonicus
tps_pv,polypedilum_vanderplanki
gfp,aequorea_victoria
clock_bmal1_dolphin,tursiops_truncatus
pot1_turritopsis,turritopsis_dohrnii
cahs_d,ramazzottius_varieornatus
trpa1_viper,crotalus_atrox
cry4a_robin,erithacus_rubecula
afp_fish,pseudopleuronectes_americanus
tapetum,felis_catus
masp1,trichonephila_clavipes
prestin_echo,tursiops_truncatus
ppri_ppra,deinococcus_radiodurans
tdr1,ramazzottius_varieornatus
melanin_pathway,cladosporium_sphaerospermum
dsup,ramazzottius_varieornatus
klotho,homo_sapiens
acomys_regen,acomys_cahirinus
scn4aa,electrophorus_electricus
kcnma1_skate,leucoraja_erinacea
lin28a,ambystoma_mexicanum
pif,pinctada_fucata
mstn_ko,bos_taurus
fgf21_stgfbr2,homo_sapiens
greenland_shark_repair,somniosus_microcephalus
cirbp,balaena_mysticetus
vegf_therapy,homo_sapiens
piezo2,mus_musculus
pvpimt,polypedilum_vanderplanki
prestin_echo,pteropus_alecto
cltx,leiurus_quinquestriatus
mstn_ko,homo_sapiens
klotho,mus_musculus
smedwi,schmidtea_mediterranea
pcsk9_edit,homo_sapiens
chrna1_mongoose,herpestes_ichneumon
has2_nmr,heterocephalus_glaber
fgf21_stgfbr2,mus_musculus
fluc,photinus_pyralis
sws1_bird,melopsittacus_undulatus
tert,mus_musculus
fst344,homo_sapiens
cpdp_potoroo,potorous_tridactylus
tert,homarus_americanus
