species_id,scientific_name,common_name,genus,species,kingdom,phylum,class,order,family,max_longevity_years,adult_weight_g,metabolic_rate_w,body_mass_g,temperature_k,female_maturity_days,male_maturity_days,gestation_days,imr_per_year,mrdt_years,url
aequorea_victoria,Aequorea victoria,Crystal jellyfish,Aequorea,victoria,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,0.5,,,,,,,,,,https://en.wikipedia.org/wiki/Aequorea_victoria
ambystoma_mexicanum,Ambystoma mexicanum,Axolotl,Ambystoma,mexicanum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,17.0,,,,,548,548,18,,,https://en.wikipedia.org/wiki/Axolotl
balaena_mysticetus,Balaena mysticetus,Bowhead whale,Balaena,mysticetus,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,211.0,100000000.0,,,,8212,8212,396,,,https://en.wikipedia.org/wiki/Bowhead_whale
cladosporium_sphaerospermum,Cladosporium sphaerospermum,Chernobyl fungus,Cladosporium,sphaerospermum,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,,,,,298.0,,,,,,https://en.wikipedia.org/wiki/Cladosporium_sphaerospermum
crotalus_atrox,Crotalus atrox,Western diamondback rattlesnake,Crotalus,atrox,Animalia,Chordata,Reptilia,Squamata,Viperidae,27.0,6700.0,,,,1095,1095,167,,,https://en.wikipedia.org/wiki/Western_diamondback_rattlesnake
cyclorana_platycephala,Cyclorana platycephala,Water-holding frog,Cyclorana,platycephala,Animalia,Chordata,Amphibia,Anura,Hylidae,,,,,,,,,,,https://en.wikipedia.org/wiki/Water-holding_frog
deinococcus_radiodurans,Deinococcus radiodurans,Conan the Bacterium,Deinococcus,radiodurans,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,,9.5e-13,,9.5e-13,303.0,,,,,,https://en.wikipedia.org/wiki/Deinococcus_radiodurans
electrophorus_electricus,Electrophorus electricus,Electric eel,Electrophorus,electricus,Animalia,Chordata,Teleostei,Gymnotiformes,Electrophoridae,12.6,,,,,,,,,,https://en.wikipedia.org/wiki/Electric_eel
erithacus_rubecula,Erithacus rubecula,European robin,Erithacus,rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,19.3,17.3,0.281,17.6,,365,365,,0.02,1.6,https://en.wikipedia.org/wiki/European_robin
felis_catus,Felis catus,Cat,Felis,catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,30.0,3900.0,,,311.25,289,304,65,,,https://en.wikipedia.org/wiki/Cat
gekko_japonicus,Gekko japonicus,Japanese gecko,Gekko,japonicus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,23.5,54.13,,,,,,,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=146911
heterocephalus_glaber,Heterocephalus glaber,Naked mole-rat,Heterocephalus,glaber,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,31.0,35.0,0.128,35.3,305.25,228,,70,,,https://en.wikipedia.org/wiki/Naked_mole-rat
