gene_id,gene,protein_id,id_type,reference_protein,protein_length_aa,protein_mass_kda,exon_count,genes_in_system,recipient_organism_count,disorder_pct,isoelectric_point_pI,gravy_score,key_publication_year,category,gene_price
trpa1_viper,TRPA1,D4P383,uniprot,TRPA1,1119,127.5,27,1,0,8,6.5,-0.15,2010,Perception,9
mb_seal,MB / GSH,R9RY82,uniprot,MB,154,17.2,3,2,0,2,7.3,-0.38,2020,Environmental Adaptation,4
clock_bmal1_dolphin,CLOCK / BMAL1,A0A6J3RDU0,uniprot,CLOCK,855,95.4,20,2,0,22,6.2,-0.55,2024,Environmental Adaptation,8
smedwi,PIWI / SMEDWI,Q2Q5Y8,uniprot,SMEDWI-2,861,98.5,1,3,0,12,9.2,-0.52,2015,Regeneration,10
pif,Pif,C7G0B5,uniprot,Protein PIF,1007,115.4,5,1,1,37,5.5,-1.1,2009,Expression,10
afp_fish,AFP / AFGP,P04002,uniprot,AFP Type I,113,12.2,3,1,5,5,5.5,-0.1,2019,Environmental Adaptation,5
cpdp_potoroo,CPD Photolyase,Q28811,uniprot,Deoxyribodipyrimidine photo-lyase,532,61.6,3,1,3,11,8.2,-0.52,2005,Environmental Adaptation,6
prestin_echo,Prestin,D7PC76,uniprot,SLC26A5,744,81.4,21,1,0,4,6.0,0.08,2010,Perception,6
tapetum,Tapetum lucidum,,,CRYGN,587,65.3,7,4,0,12,6.8,-0.25,2015,Perception,7
cry4a_robin,CRY4a,"","",CRY4,590,66.0,12,1,0,15,6.2,-0.3,2021,Perception,5
foxo3,FOXO3,O43524,uniprot,FOXO3,673,71.3,3,1,2,45,5.2,-0.72,2015,Longevity & Genome,5
sod2,SOD2,P04179,uniprot,SOD2,222,24.7,5,1,2,5,8.4,-0.28,2012,Stress Resistance,1
pvlea,PvLEA,Q1XI25,uniprot,PvLEA4,300,33.0,2,27,3,90,6.5,-1.2,2014,Stress Resistance,5
apoe_edit,APOE,P02649,uniprot,APOE,317,36.2,4,1,2,25,5.5,-0.65,2025,Longevity & Genome,7
resilin,Resilin,Q9V7U0,uniprot,Pro-resilin,620,58.6,4,1,2,94,4.4,-1.0,2011,Expression,10
ppri_ppra,PprI / PprA,Q9RXY7,uniprot,PprA,300,33.0,1,2,2,10,5.0,-0.25,2016,Stress Resistance,5
sws1_bird,SWS1,P03999,uniprot,OPN1SW,345,38.7,5,1,2,8,5.3,0.05,1998,Perception,7
mstn_ko,MSTN,O14793,uniprot,MSTN,375,42.8,3,1,8,18,5.7,-0.38,2004,Regeneration,6
epas1_tibetan,EPAS1,Q99814,uniprot,EPAS1,870,96.8,16,1,1,35,5.4,-0.62,2014,Environmental Adaptation,6
greenland_shark_repair,GS DNA-repair / TP53,"","",TP53,393,43.7,11,81,0,30,6.3,-0.68,2024,Longevity & Genome,4
cirbp,CIRBP,Q14011,uniprot,CIRBP,172,18.6,6,1,1,55,9.4,-0.85,2017,Environmental Adaptation,4
tmc1,TMC1,Q8TDI8,uniprot,TMC1,760,87.8,24,1,4,10,7.8,-0.05,2015,Perception,7
tp53_elephant,TP53 (elephant),P04637,uniprot,TP53,393,43.7,11,1,1,30,6.3,-0.68,2015,Longevity & Genome,5
aqp1,AQP1,P29972,uniprot,AQP1,269,28.6,4,1,2,3,7.7,0.45,2013,Environmental Adaptation,4
vegf_therapy,VEGF,P15692,uniprot,VEGFA,412,46.0,8,1,5,20,9.2,-0.55,2001,Regeneration,5
pot1_turritopsis,POT1 / SIRT3 / RTEL1,"","",POT1,634,71.4,22,3,0,18,6.0,-0.4,2025,Regeneration,4
chrna1_mongoose,CHRNA1,P02708,uniprot,Acetylcholine receptor subunit alpha,457,51.8,10,5,1,12,5.4,0.11,2015,Environmental Adaptation,6
scn4aa,SCN4AA,A0A4W4FPH1,uniprot,scn4aa,1820,208.0,27,1,0,2,5.4,-0.02,2019,Environmental Adaptation,12
tp53_rtg9,TP53-RTG9,G3UDE4,uniprot,TP53,360,40.0,1,20,1,25,6.5,-0.6,2023,Longevity & Genome,5
has2_nmr,HAS2,Q92819,uniprot,HAS2,552,63.2,4,1,1,8,7.6,-0.05,2013,Longevity & Genome,5
gfp,GFP,P42212,uniprot,GFP,238,26.9,1,1,9,2,5.8,-0.55,1994,Expression,8
pvpimt,PvPIMT,S6CDF7,uniprot,PCMT1,227,24.6,4,14,0,12,6.8,-0.3,2014,Longevity & Genome,6
acomys_regen,Acomys regen. program,,,,,,,20,0,,,,2012,Regeneration,6
tert,TERT,O14746,uniprot,TERT,1132,127.0,16,1,2,15,9.9,-0.47,2016,Regeneration,6
cbp_gecko,CBP,A0ABM1JV99,uniprot,CBP,150,14.5,1,72,0,3,7.5,0.55,2015,Expression,20
