gene_id,gene,category,pdb_id,protein_id,structure_source,render_style,file,triangles,dimensions_mm,max_dim_mm,surface_area_cm2,shells,tiny_shells,watertight,aspect_ratio,difficulty
pif,Pif,Expression,"",C7G0B5,alphafold,cartoon,C7G0B5_predicted_cartoon.stl,469458,1252.9 x 1216.0 x 1528.4,1528.4,43907.41,438,1,false,1.3,expert
tps_pv,TPS,Environmental Adaptation,"",C9K4M3,alphafold,cartoon,C9K4M3_predicted_cartoon.stl,435380,969.7 x 1031.3 x 1217.2,1217.2,33221.29,530,1,false,1.3,expert
trpa1_viper,TRPA1,Perception,"",D4P383,alphafold,cartoon,D4P383_predicted_cartoon.stl,552448,1249.3 x 896.9 x 1287.1,1287.1,47354.87,604,1,false,1.4,expert
klotho,Klotho,Longevity & Genome,5W21,Q9UEF7,rcsb,cartoon,5W21_cartoon.stl,546192,1014.7 x 728.2 x 1007.7,1014.7,33467.88,853,3,false,1.4,expert
kcnma1_skate,KCNMA1,Perception,6V5A,Q12791,rcsb,cartoon,6V5A_cartoon.stl,333164,641.4 x 663.3 x 703.9,703.9,14917.43,482,7,false,1.1,expert
clock_bmal1_dolphin,CLOCK / BMAL1,Environmental Adaptation,"",A0A6J3RDU0,alphafold,cartoon,A0A6J3RDU0_predicted_cartoon.stl,353568,1486.4 x 1494.7 x 1525.7,1525.7,32485.18,212,1,false,1.0,expert
smedwi,PIWI / SMEDWI,Regeneration,"",Q2Q5Y8,alphafold,cartoon,Q2Q5Y8_predicted_cartoon.stl,438216,768.4 x 744.2 x 879.1,879.1,24273.6,564,1,false,1.2,expert
piezo2,PIEZO2,Perception,"",Q9H5I5,alphafold,cartoon,Q9H5I5_predicted_cartoon.stl,326908,1209.3 x 1354.6 x 1222.4,1354.6,30250.48,297,1,false,1.1,expert
fluc,Luciferase / Luciferin,Expression,3RIX,P08659,rcsb,cartoon,3RIX_cartoon.stl,252776,540.6 x 479.1 x 604.3,604.3,8746.89,401,1,false,1.3,hard
prestin_echo,Prestin,Perception,7S8X,D7PC76,rcsb,cartoon,7S8X_cartoon.stl,346462,944.4 x 798.4 x 1026.8,1026.8,22969.6,406,2,false,1.3,hard
sod2,SOD2,Stress Resistance,9NSJ,P04179,rcsb,cartoon,9NSJ_cartoon.stl,212422,500.6 x 531.7 x 426.0,531.7,6001.65,587,1,false,1.2,hard
cpdp_potoroo,CPD Photolyase,Environmental Adaptation,"",Q28811,alphafold,cartoon,Q28811_predicted_cartoon.stl,271848,969.9 x 752.2 x 771.5,969.9,16527.21,331,1,false,1.3,hard
has2_nmr,HAS2,Longevity & Genome,"",Q92819,alphafold,cartoon,Q92819_predicted_cartoon.stl,272496,756.2 x 616.3 x 735.1,756.2,13957.41,298,1,false,1.2,hard
resilin,Resilin,Expression,"",Q9V7U0,alphafold,cartoon,Q9V7U0_predicted_cartoon.stl,234918,1546.9 x 1269.0 x 1456.6,1546.9,18639.79,63,1,false,1.2,hard
fst344,FST,Regeneration,3HH2,P19883,rcsb,cartoon,3HH2_cartoon.stl,178326,564.9 x 524.9 x 830.9,830.9,8417.99,296,2,false,1.6,hard
gfp,GFP,Expression,6L27,P42212,rcsb,cartoon,6L27_cartoon.stl,136590,379.5 x 455.0 x 498.4,498.4,3773.6,231,2,false,1.3,hard
pcsk9_edit,PCSK9,Longevity & Genome,7S5H,Q8NBP7,rcsb,cartoon,7S5H_cartoon.stl,133794,413.3 x 406.1 x 400.8,413.3,3565.63,206,2,false,1.0,hard
tp53_rtg9,TP53-RTG9,Longevity & Genome,"",G3UDE4,alphafold,cartoon,G3UDE4_predicted_cartoon.stl,159858,1367.1 x 955.2 x 744.9,1367.1,12907.42,125,1,false,1.8,hard
masp1,MaSp1,Expression,"",P19837,alphafold,cartoon,P19837_predicted_cartoon.stl,315138,785.4 x 982.8 x 1052.5,1052.5,18163.22,189,1,false,1.3,hard
ppri_ppra,PprI / PprA,Stress Resistance,"",Q9RXY7,alphafold,cartoon,Q9RXY7_predicted_cartoon.stl,164808,1154.2 x 569.6 x 674.2,1154.2,12530.07,201,0,false,2.0,hard
vegf_therapy,VEGF,Regeneration,1MKK,P15692,rcsb,cartoon,1MKK_cartoon.stl,48672,294.8 x 369.6 x 480.2,480.2,1330.74,62,1,false,1.6,medium
mgmt_p140k,MGMT,Longevity & Genome,1QNT,P16455,rcsb,cartoon,1QNT_cartoon.stl,87126,420.9 x 447.6 x 294.3,447.6,2413.35,116,2,false,1.5,medium
epas1_tibetan,EPAS1,Environmental Adaptation,3F1P,Q99814,rcsb,cartoon,3F1P_cartoon.stl,59738,405.1 x 299.3 x 285.9,405.1,1468.3,77,1,false,1.4,medium
aqp1,AQP1,Environmental Adaptation,4CSK,P29972,rcsb,cartoon,4CSK_cartoon.stl,122146,364.3 x 394.0 x 566.3,566.3,4289.43,152,1,false,1.6,medium
chrna1_mongoose,CHRNA1,Environmental Adaptation,4ZJS,P02708,rcsb,cartoon,4ZJS_cartoon.stl,105690,489.6 x 565.1 x 495.6,565.1,3334.74,127,1,false,1.2,medium
mstn_ko,MSTN,Regeneration,5F3B,O14793,rcsb,cartoon,5F3B_cartoon.stl,55374,348.6 x 482.9 x 383.1,482.9,1617.14,74,2,false,1.4,medium
cirbp,CIRBP,Environmental Adaptation,5TBX,Q14011,rcsb,cartoon,5TBX_cartoon.stl,46760,211.6 x 294.2 x 364.7,364.7,1083.83,69,1,false,1.7,medium
lin28a,Lin28a,Regeneration,5UDZ,Q9H9Z2,rcsb,cartoon,5UDZ_cartoon.stl,78596,442.0 x 348.7 x 374.6,442.0,1884.65,117,1,false,1.3,medium
rbm3,RBM3,Environmental Adaptation,7EB1,P98179,rcsb,cartoon,7EB1_cartoon.stl,44274,329.4 x 252.9 x 245.0,329.4,932.48,59,1,false,1.3,medium
apoe_edit,APOE,Longevity & Genome,7FCR,P02649,rcsb,cartoon,7FCR_cartoon.stl,64366,459.3 x 247.9 x 499.2,499.2,2260.13,64,2,false,2.0,medium
tmc1,TMC1,Perception,8XOQ,Q8TDI8,rcsb,cartoon,8XOQ_cartoon.stl,126492,509.9 x 438.4 x 781.5,781.5,6153.85,169,2,false,1.8,medium
sws1_bird,SWS1,Perception,8Y02,P03999,rcsb,cartoon,8Y02_cartoon.stl,152928,439.7 x 556.3 x 527.2,556.3,5542.79,194,1,false,1.3,medium
reflectin,Reflectin,Expression,"",I7LGW2,alphafold,cartoon,I7LGW2_predicted_cartoon.stl,125926,814.1 x 685.7 x 1027.5,1027.5,7923.37,116,1,false,1.5,medium
sting_bat,STING,Environmental Adaptation,"",L5JUR0,alphafold,cartoon,L5JUR0_predicted_cartoon.stl,171204,718.6 x 599.7 x 874.7,874.7,10234.93,165,0,false,1.5,medium
dsup,Dsup,Stress Resistance,"",P0DOW4,alphafold,cartoon,P0DOW4_predicted_cartoon.stl,164132,1397.6 x 1225.3 x 1355.3,1397.6,12669.09,24,1,false,1.1,medium
cahs_d,CAHS D,Stress Resistance,"",P0DOW5,alphafold,cartoon,P0DOW5_predicted_cartoon.stl,105362,618.8 x 491.8 x 582.7,618.8,3994.79,130,1,false,1.3,medium
mb_seal,MB / GSH,Environmental Adaptation,"",R9RY82,alphafold,cartoon,R9RY82_predicted_cartoon.stl,77296,310.1 x 401.4 x 364.0,401.4,2187.33,88,1,false,1.3,medium
pvpimt,PvPIMT,Longevity & Genome,"",S6CDF7,alphafold,cartoon,S6CDF7_predicted_cartoon.stl,124932,388.9 x 382.3 x 467.0,467.0,3609.1,170,1,false,1.2,medium
afp_fish,AFP / AFGP,Environmental Adaptation,1WFB,P04002,rcsb,cartoon,1WFB_cartoon.stl,16486,484.0 x 173.5 x 262.9,484.0,594.91,16,1,false,2.8,medium
cltx,Chlorotoxin,Expression,7X43,P45639,rcsb,cartoon,7X43_cartoon.stl,24176,222.4 x 148.0 x 192.7,222.4,318.34,40,0,false,1.5,medium
tp53_elephant,TP53 (elephant),Longevity & Genome,9C5S,P04637,rcsb,cartoon,9C5S_cartoon.stl,9918,192.1 x 121.8 x 118.1,192.1,114.59,22,1,false,1.6,medium
hsf1_pv,HSF1,Stress Resistance,"",A0A9J6CAY1,alphafold,cartoon,A0A9J6CAY1_predicted_cartoon.stl,31606,468.6 x 423.7 x 816.1,816.1,1794.08,18,1,false,1.9,medium
pvlea,PvLEA,Stress Resistance,"",Q1XI25,alphafold,cartoon,Q1XI25_predicted_cartoon.stl,74130,530.4 x 472.5 x 549.3,549.3,3129.96,41,1,false,1.2,medium
tert,TERT,Regeneration,5MEO,O14746,rcsb,cartoon,5MEO_cartoon.stl,4072,117.7 x 190.8 x 106.6,190.8,45.45,6,1,false,1.8,easy
fgf21_stgfbr2,FGF21 / sTGFβR2,Longevity & Genome,5VAQ,Q9NSA1,rcsb,cartoon,5VAQ_cartoon.stl,10256,96.8 x 194.7 x 370.4,370.4,190.43,9,1,false,3.8,easy
foxo3,FOXO3,Longevity & Genome,9QNG,O43524,rcsb,cartoon,9QNG_cartoon.stl,4856,57.6 x 115.9 x 145.5,145.5,45.63,9,1,false,2.5,easy
